init init 36.15039521469766
0 0 46.51905880916755
0 1 68.19238868373664
0 2 88.74599444563131
0 3 110.19592883083577
1 0 58.644978179265436
1 1 87.74407177953435
1 2 115.90868861964769
1 3 142.28949858088956
2 0 68.07733390301229
2 1 102.40424817651889
2 2 133.6948759422591
2 3 165.69414349803156
3 0 72.55561998352009
3 1 107.13553270058271
3 2 141.40507217627533
3 3 174.5561082796717
4 0 68.14996795556509
4 1 105.77837458418507
4 2 135.327616199225
4 3 166.85720389416193
5 0 62.77657399212608
5 1 91.97546311838124
5 2 120.69124423963127
5 3 150.62746055482665
6 0 48.522904141361444
6 1 73.53556932279437
6 2 96.90969573046041
6 3 117.44346446119553
7 0 38.845179601428164
7 1 51.98065126499191
7 2 66.5541550950651
7 3 82.5272377697075
