force_anche distance_pointe_anche y z moyenne_brute moyenne(N) 
offset: 
34.77614673299355  
y_centre:
13.495782
3.5 3 0.0 0 33.78032776879175 0 
3.5 3 0.0 0.433 207.49961851863102 0.46974954956645776
3.5 3 0.0 0.867 399.9261452070687 0.9939344710883662
3.5 3 0.0 1.3 586.987212744531 1.5146282179738007
3.5 3 1.571 0 34.08886989959407 0 
3.5 3 1.571 0.433 199.49095126194027 0.4461839102048385
3.5 3 1.571 0.867 387.6961577196579 0.9607131439022504
3.5 3 1.571 1.3 580.201727347637 1.4939026849750698
3.5 3 3.142 0 37.336039307840124 0 
3.5 3 3.142 0.433 165.18936735129887 0.36262986767467803
3.5 3 3.142 0.867 328.60744041260995 0.8088238850195939
3.5 3 3.142 1.3 496.3661610766937 1.2598785944820325
3.5 3 4.713 0 34.25946836756488 0 
3.5 3 4.713 0.433 127.39341410565541 0.2678804829809419
3.5 3 4.713 0.867 260.52949613940893 0.6077903420141502
3.5 3 4.713 1.3 384.8948637348561 0.9558339220279187
3.5 3 6.284 0 38.897366252632104 0 
3.5 3 6.284 0.433 84.25428022095416 0.13488652248059857
3.5 3 6.284 0.867 166.48060548722813 0.3646698254477879
3.5 3 6.284 1.3 248.2351145970039 0.5799375907346409
3.5 3 -1.571 0 36.65974913785202 0 
3.5 3 -1.571 0.433 177.09768974883283 0.3913897347764986
3.5 3 -1.571 0.867 351.1856440931435 0.874221292655074
3.5 3 -1.571 1.3 528.8735618152413 1.3540299733876133
3.5 3 -3.142 0 33.91308328501233 0 
3.5 3 -3.142 0.433 138.76583147679102 0.28372595184366584
3.5 3 -3.142 0.867 279.09878841517406 0.675929311396723
3.5 3 -3.142 1.3 427.7312540055536 1.0802300753656242
3.5 3 -4.713 0 34.403515732291616 0 
3.5 3 -4.713 0.433 97.15170751060505 0.1752098000972941
3.5 3 -4.713 0.867 210.3979613635664 0.47110811764574145
3.5 3 -4.713 1.3 314.6064638203065 0.764477123388803
3.5 3 -6.284 0 30.824610126041435 0 
3.5 3 -6.284 0.433 57.165440839869035 0.06357222658909585
3.5 3 -6.284 0.867 122.68776512955111 0.240228189979714
3.5 3 -6.284 1.3 179.78911709952095 0.39201637746155
