force_anche distance_pointe_anche y z moyenne_brute moyenne(N) 
offset: 
-274.04553361613864  
y_centre:
13.354049999999999
2.5 3 0.0 0 -272.34534745323054 0 
2.5 3 0.0 0.433 -149.79186376537393 0.3435669592193531
2.5 3 0.0 0.867 19.595934934537766 0.7967290073887738
2.5 3 0.0 1.3 196.1107211523786 1.299525535974943
2.5 3 1.594 0 -267.5328836939606 0 
2.5 3 1.594 0.433 -150.96896267586317 0.33397022971199775
2.5 3 1.594 0.867 16.33106479079561 0.7947505347178262
2.5 3 1.594 1.3 178.5695974608599 1.2462971249975587
2.5 3 3.189 0 -269.84069338053575 0 
2.5 3 3.189 0.433 -161.8393505661186 0.2929975683450678
2.5 3 3.189 0.867 -20.145573290200492 0.6860044455346018
2.5 3 3.189 1.3 126.01611377300347 1.0916780960312373
2.5 3 4.783 0 -272.27576525162567 0 
2.5 3 4.783 0.433 -194.82375560777578 0.21419893522323824
2.5 3 4.783 0.867 -88.54731894894257 0.5054462838108633
2.5 3 4.783 1.3 11.509750663777575 0.7824813089205956
2.5 3 6.377 0 -274.47462385937087 0 
2.5 3 6.377 0.433 -231.61442915128077 0.1138805163446097
2.5 3 6.377 0.867 -167.18955046235544 0.2885133671955891
2.5 3 6.377 1.3 -108.46003601184124 0.4509881707902319
2.5 3 -1.594 0 -272.5308999908448 0 
2.5 3 -1.594 0.433 -163.9213232825712 0.30463257110218633
2.5 3 -1.594 0.867 -3.2267220068971834 0.7481060832418444
2.5 3 -1.594 1.3 154.11053804132212 1.1745406417274922
2.5 3 -3.189 0 -274.3562120426042 0 
2.5 3 -3.189 0.433 -189.46867275002276 0.24310198680954773
2.5 3 -3.189 0.867 -55.00228888821071 0.6006892338452443
2.5 3 -3.189 1.3 74.1056550798061 0.953000553758415
2.5 3 -4.783 0 -271.8103579821163 0 
2.5 3 -4.783 0.433 -218.8781395916623 0.1461054479710304
2.5 3 -4.783 0.867 -124.40687276833438 0.4138545381309123
2.5 3 -4.783 1.3 -38.34833826715896 0.6476967001024857
2.5 3 -6.377 0 -272.4646748252818 0 
2.5 3 -6.377 0.433 -250.82064271981028 0.0639175538752124
2.5 3 -6.377 0.867 -199.4689779351173 0.2031021376754588
2.5 3 -6.377 1.3 -153.14035462508028 0.329092692361016
