force_anche distance_pointe_anche y z moyenne_brute moyenne(N) 
offset: 
32.06976531266214  
y_centre:
13.4689215
3 3 0.0 0 33.10190130314039 0 
3 3 0.0 0.433 165.96881008331553 0.3601915201300234
3 3 0.0 0.867 345.0700399792474 0.8432386969970025
3 3 0.0 1.3 532.7613147373879 1.3715018495417797
3 3 1.587 0 33.38145084994052 0 
3 3 1.587 0.433 154.76790673543513 0.3401574839652037
3 3 1.587 0.867 328.3553575243374 0.8095836050490541
3 3 1.587 1.3 517.0128482924893 1.3303034620463643
3 3 3.174 0 36.34083071382784 0 
3 3 3.174 0.433 137.51396221808545 0.28741505797340205
3 3 3.174 0.867 270.5386516922517 0.6648931566894317
3 3 3.174 1.3 418.7353129673142 1.0819314439460037
3 3 4.761 0 38.09381389812913 0 
3 3 4.761 0.433 94.63240455336165 0.17831184984063206
3 3 4.761 0.867 193.69121372112147 0.44894652849377326
3 3 4.761 1.3 292.24250007629604 0.7038738691986381
3 3 6.347 0 39.86419263283168 0 
3 3 6.347 0.433 64.80941190832256 0.09190506702247594
3 3 6.347 0.867 115.77745902890102 0.24983839567384533
3 3 6.347 1.3 168.0706198309276 0.3682106935229955
3 3 -1.587 0 35.28031250953702 0 
3 3 -1.587 0.433 178.5430463576157 0.408176852190146
3 3 -1.587 0.867 341.63060396130226 0.8493568857929836
3 3 -1.587 1.3 517.6543473616749 1.3492804598109953
3 3 -3.174 0 30.93142490920737 0 
3 3 -3.174 0.433 163.79985961485636 0.3598108178536207
3 3 -3.174 0.867 306.6096987823106 0.7578956906724188
3 3 -3.174 1.3 455.5354472487562 1.1799445926243821
3 3 -4.761 0 29.676198614459686 0 
3 3 -4.761 0.433 128.04834131901012 0.26145486867414724
3 3 -4.761 0.867 232.38837855159122 0.5404599438380915
3 3 -4.761 1.3 341.9153416547139 0.8282026416024703
3 3 -6.347 0 25.967894528031206 0 
3 3 -6.347 0.433 89.61210974456002 0.13665021842481542
3 3 -6.347 0.867 146.47968993194388 0.2983215043829816
3 3 -6.347 1.3 192.15155491805743 0.4491368796319749
