force_anche distance_pointe_anche y z moyenne_brute moyenne(N) 
offset: 
28.627277443769565  
y_centre:
13.416153
2.5 3 0.0 0 27.064729758598528 0 
2.5 3 0.0 0.433 140.0393688772245 0.2967338411285172
2.5 3 0.0 0.867 299.41404461806087 0.7473522590440996
2.5 3 0.0 1.3 465.7927182836393 1.2014222652975062
2.5 3 1.579 0 30.128177739799153 0 
2.5 3 1.579 0.433 139.9026459547718 0.3096263405641053
2.5 3 1.579 0.867 298.0904568620865 0.7388277286470534
2.5 3 1.579 1.3 460.33173619800414 1.1908426164172268
2.5 3 3.158 0 27.043977172154896 0 
2.5 3 3.158 0.433 122.2855311746574 0.2681474799314275
2.5 3 3.158 0.867 266.38752403332654 0.6519349608433147
2.5 3 3.158 1.3 409.2403942991424 1.0412047229877257
2.5 3 4.737 0 26.81814020203249 0 
2.5 3 4.737 0.433 93.47819452497943 0.19067793573031008
2.5 3 4.737 0.867 204.196600238044 0.47222158757805066
2.5 3 4.737 1.3 311.35166478469137 0.776048956520412
2.5 3 6.316 0 30.062868129520506 0 
2.5 3 6.316 0.433 66.92251350444039 0.09922010965643897
2.5 3 6.316 0.867 127.17062898648051 0.27026408351682196
2.5 3 6.316 1.3 187.7980895413065 0.42622736211397744
2.5 3 -1.579 0 27.825861384929862 0 
2.5 3 -1.579 0.433 126.06311227759663 0.25948987218997566
2.5 3 -1.579 0.867 270.26490066225176 0.6736080382246784
2.5 3 -1.579 1.3 421.9403668324838 1.072532645931912
2.5 3 -3.158 0 24.938200018311058 0 
2.5 3 -3.158 0.433 100.92349009674354 0.1883650851750006
2.5 3 -3.158 0.867 223.35612048707515 0.5294128397290448
2.5 3 -3.158 1.3 340.2334665974908 0.8559534792194887
2.5 3 -4.737 0 26.0585345011749 0 
2.5 3 -4.737 0.433 69.83306375316641 0.12075168707666377
2.5 3 -4.737 0.867 158.3947264015626 0.3500911181419417
2.5 3 -4.737 1.3 237.44346446119593 0.5807394238477694
2.5 3 -6.316 0 27.02078310495307 0 
2.5 3 -6.316 0.433 50.959807123019786 0.04820684688024202
2.5 3 -6.316 0.867 95.37308877834421 0.17585160349246798
2.5 3 -6.316 1.3 136.96493423261228 0.29372022886089283
