force_anche distance_pointe_anche y z moyenne_brute moyenne(N) 
offset: 
27.400433362834505  
y_centre:
13.6430385
3.5 3 0.0 0 30.253303628650734 0 
3.5 3 0.0 0.433 228.8033692434461 0.5512097295764081
3.5 3 0.0 0.867 480.104068117314 1.2403263319944315
3.5 3 0.0 1.3 727.481612598042 1.931201576786622
3.5 3 1.593 0 34.3647572252571 0 
3.5 3 1.593 0.433 223.7022003845329 0.5363092783113012
3.5 3 1.593 0.867 459.8156682027658 1.2007172922768263
3.5 3 1.593 1.3 698.752098147527 1.8374671174094017
3.5 3 3.186 0 31.935178685872952 0 
3.5 3 3.186 0.433 179.50926236762595 0.4259527848084309
3.5 3 3.186 0.867 363.3606982634975 0.9215176546663121
3.5 3 3.186 1.3 553.8239692373418 1.4420429492170481
3.5 3 4.778 0 30.913724173711316 0 
3.5 3 4.778 0.433 129.8254341257974 0.2805733663999209
3.5 3 4.778 0.867 258.28180791650186 0.6409299698179418
3.5 3 4.778 1.3 392.0490127262187 0.994747253603249
3.5 3 6.371 0 30.2887050996429 0 
3.5 3 6.371 0.433 78.67946409497378 0.14333272254201365
3.5 3 6.371 0.867 150.94088564714536 0.3370486961284786
3.5 3 6.371 1.3 222.27576525162482 0.5319952140198612
3.5 3 -1.593 0 31.407513657032926 0 
3.5 3 -1.593 0.433 226.58436841944624 0.5458756863984133
3.5 3 -1.593 0.867 459.1851557969911 1.1817360832038246
3.5 3 -1.593 1.3 683.7958922086244 1.797262598688663
3.5 3 -3.186 0 34.1312906277657 0 
3.5 3 -3.186 0.433 189.50590533158353 0.45009368889301954
3.5 3 -3.186 0.867 382.5028229621275 0.9685343858019602
3.5 3 -3.186 1.3 575.0648518326359 1.4992603114799208
3.5 3 -4.778 0 34.612567522202134 0 
3.5 3 -4.778 0.433 132.42866298410019 0.2890877896568852
3.5 3 -4.778 0.867 260.9445478682826 0.6453307870617485
3.5 3 -4.778 1.3 385.1649525437172 0.9915862455427706
3.5 3 -6.371 0 34.265877254554866 0 
3.5 3 -6.371 0.433 80.11017181920846 0.14823300095817915
3.5 3 -6.371 0.867 153.5551011688589 0.34559596759070854
3.5 3 -6.371 1.3 218.40907010101603 0.54000343801108
