force_anche distance_pointe_anche y z moyenne_brute moyenne(N) 
offset: 
30.646076845606803  
y_centre:
13.7710545
3 3 0.0 0 32.797021393475184 0 
3 3 0.0 0.433 171.84575945310823 0.3890305598291496
3 3 0.0 0.867 357.3705252235481 0.9015560530054064
3 3 0.0 1.3 559.4723349711599 1.4523193838948822
3 3 1.591 0 30.079653309732343 0 
3 3 1.591 0.433 156.7735831781977 0.3479163985010787
3 3 1.591 0.867 339.8168889431432 0.8453089761903555
3 3 1.591 1.3 529.2437513351842 1.359484459984912
3 3 3.182 0 32.001098666341115 0 
3 3 3.182 0.433 139.34110538041335 0.29348355333065157
3 3 3.182 0.867 301.7020172734763 0.7561134649713857
3 3 3.182 1.3 475.46464430677247 1.2290602398502861
3 3 4.773 0 31.630298776207734 0 
3 3 4.773 0.433 105.93737601855514 0.2113546175519762
3 3 4.773 0.867 229.34202093569758 0.5344023978825986
3 3 4.773 1.3 354.10260322885847 0.8718419034275605
3 3 6.364 0 34.01470992156741 0 
3 3 6.364 0.433 66.32160405285815 0.0934927302769398
3 3 6.364 0.867 130.59144871364498 0.27819734621910214
3 3 6.364 1.3 190.02533036286496 0.43959658165674076
3 3 -1.591 0 27.411420026245874 0 
3 3 -1.591 0.433 154.9568163090915 0.3448101374493738
3 3 -1.591 0.867 324.15692617572483 0.8194363821051384
3 3 -1.591 1.3 504.5152134769738 1.308066911605459
3 3 -3.182 0 31.17618335520494 0 
3 3 -3.182 0.433 138.48414563432735 0.28390366905676473
3 3 -3.182 0.867 275.9108249153114 0.677252504485723
3 3 -3.182 1.3 422.81441694387524 1.0849863270356286
3 3 -4.773 0 31.78746910000914 0 
3 3 -4.773 0.433 107.68608661152967 0.22268387932162975
3 3 -4.773 0.867 204.09527878658363 0.4822680848190306
3 3 -4.773 1.3 294.89333780938136 0.7270411187887138
3 3 -6.364 0 33.125705740531615 0 
3 3 -6.364 0.433 71.49052400280783 0.12205298136215248
3 3 -6.364 0.867 121.05807672353295 0.2430337636139958
3 3 -6.364 1.3 156.65974913785217 0.35311315302630114
