force_anche distance_pointe_anche y z moyenne_brute moyenne(N) 
offset: 
24.327219458601597  
y_centre:
13.543026
2.5 3 0.0 0 26.320383312478995 0 
2.5 3 0.0 0.433 142.531815546129 0.3225609530833659
2.5 3 0.0 0.867 297.8289132358774 0.7650136440747939
2.5 3 0.0 1.3 462.5778984954375 1.2064244573761596
2.5 3 1.593 0 27.37540818506419 0 
2.5 3 1.593 0.433 130.4409924619285 0.2980839865910677
2.5 3 1.593 0.867 284.3427838984346 0.7144577293872849
2.5 3 1.593 1.3 444.0650654622024 1.1466525154576952
2.5 3 3.186 0 25.949888607440382 0 
2.5 3 3.186 0.433 114.00555436872457 0.2405457226306069
2.5 3 3.186 0.867 240.3732413708915 0.5916113375287372
2.5 3 3.186 1.3 365.6163212988685 0.9549529163174864
2.5 3 4.778 0 23.134556108279597 0 
2.5 3 4.778 0.433 81.01779229102469 0.1646200440769351
2.5 3 4.778 0.867 178.76583147679065 0.4210339766354485
2.5 3 4.778 1.3 268.6422315134132 0.67806107569224
2.5 3 6.371 0 22.71736808374277 0 
2.5 3 6.371 0.433 51.35990478225011 0.08131446874044189
2.5 3 6.371 0.867 107.75872066408256 0.23034509150338328
2.5 3 6.371 1.3 158.80336924344627 0.3640120190808188
2.5 3 -1.593 0 24.553971984008232 0 
2.5 3 -1.593 0.433 134.7917111728266 0.29431149655565886
2.5 3 -1.593 0.867 288.76033814508503 0.7213583792779077
2.5 3 -1.593 1.3 442.7918332468633 1.160853889533833
2.5 3 -3.186 0 28.61690115054772 0 
2.5 3 -3.186 0.433 117.03634754478576 0.2557687601166472
2.5 3 -3.186 0.867 246.10797448652644 0.6122501175750986
2.5 3 -3.186 1.3 380.2203436384173 0.9816989357580745
2.5 3 -4.778 0 26.61427655873283 0 
2.5 3 -4.778 0.433 84.41236610003979 0.15907122417220848
2.5 3 -4.778 0.867 179.81627857295453 0.4297362242455944
2.5 3 -4.778 1.3 273.34818567461195 0.6880334539059565
2.5 3 -6.371 0 28.232978301339713 0 
2.5 3 -6.371 0.433 50.82522049623058 0.05801077275926712
2.5 3 -6.371 0.867 102.19885860774548 0.2051370418785254
2.5 3 -6.371 1.3 148.11426129947833 0.33774945784079424
