force_anche distance_pointe_anche y z moyenne_brute moyenne(N) 
offset: 
27.43003631702625  
y_centre:
13.578078
3.5 3 0.0 0 28.96481215857408 0 
3.5 3 0.0 0.433 122.97982726523642 0.2544733616628718
3.5 3 0.0 0.867 294.3040253913998 0.7329580070447407
3.5 3 0.0 1.3 480.9500411999882 1.2489536183156378
3.5 3 1.586 0 31.046784875026642 0 
3.5 3 1.586 0.433 123.92773216956094 0.26456449877254656
3.5 3 1.586 0.867 293.2255012665183 0.7321250102496925
3.5 3 1.586 1.3 466.5718558305616 1.2240538364632654
3.5 3 3.172 0 30.48799096652117 0 
3.5 3 3.172 0.433 119.72960600604274 0.2503353300611838
3.5 3 3.172 0.867 260.9735404522851 0.6410007197985126
3.5 3 3.172 1.3 406.8092898342851 1.048699167358133
3.5 3 4.758 0 26.239509262367555 0 
3.5 3 4.758 0.433 87.91131321146281 0.15913607832106452
3.5 3 4.758 0.867 190.8267464217046 0.44760396338628505
3.5 3 4.758 1.3 295.9871211890009 0.7447808341550394
3.5 3 6.345 0 27.186193426313004 0 
3.5 3 6.345 0.433 54.60860011597018 0.07565278577147208
3.5 3 6.345 0.867 113.08786278878127 0.23341260851811022
3.5 3 6.345 1.3 167.49504074221022 0.3881411315019806
3.5 3 -1.586 0 26.718039490951185 0 
3.5 3 -1.586 0.433 119.76500747703483 0.2510377762968459
3.5 3 -1.586 0.867 272.54890591143544 0.6861021478887227
3.5 3 -1.586 1.3 437.32902005066006 1.132211939066294
3.5 3 -3.172 0 29.661549729911194 0 
3.5 3 -3.172 0.433 101.75206762901675 0.20575947325520916
3.5 3 -3.172 0.867 233.8569292275768 0.5726276016707166
3.5 3 -3.172 1.3 365.251014740441 0.9348119129201374
3.5 3 -4.758 0 29.576403088473157 0 
3.5 3 -4.758 0.433 77.02169866023762 0.134103219124285
3.5 3 -4.758 0.867 170.92623676259643 0.38989724709113543
3.5 3 -4.758 1.3 261.6394543290508 0.6408592198373717
3.5 3 -6.345 0 27.460249641407444 0 
3.5 3 -6.345 0.433 48.080690939054286 0.04762989763392461
3.5 3 -6.345 0.867 98.15729239783919 0.1939610717334407
3.5 3 -6.345 1.3 144.5667897579885 0.319349409322479
