Num_Anche K0 K1 x0 Delta_K K00 K01 x00 
Anche_1 1.2271433002797973 -0.021285853476524248 -0.17566896101706655 0.04117286338427689 -0.18578081419886325 0.003815267842512246 -2.3147658362853787 
Anche_2 1.238206116948444 -0.022093429053501458 -0.1423511322588774 0.04827753758978909 -0.21082628187860522 0.003962947919165209 -0.90940163600231 
Anche_3 1.2287395319043042 -0.021615358912280253 -0.1449928928192632 0.03851190769746221 -0.18077676155390923 0.0021588559410088306 -0.7938585254583523 
Anche_4 1.327924453222267 -0.02384808004449963 0.031391717997546996 -0.019076633715458646 -0.03868574909835541 0.00012692058803590237 -40.86592571413017 
Anche_5 1.2361602975149408 -0.022565640694435327 -0.06339000698876911 0.016472174715124466 -0.20689429175847837 0.00378828647062104 -1.012847600297078 
Anche_6 1.2383721301429462 -0.021843167980644083 -0.13439162621404116 0.04195735325168237 -0.22394099971948903 0.004090191235254583 -0.4359018786920083 
Anche_7 1.2547159416386369 -0.02222320903311158 -0.20972914649390034 0.07227875556822516 -0.2274841695638571 0.0029744494161103373 -0.47795880582198597 
Anche_8 1.186380204099107 -0.022280550707282253 0.16500946578739273 0.042985370789351496 -0.11347307803881507 0.0026347632336515053 1.5298437356794383 
Anche_9 0.8377296224587119 -7.815701552537699e-11 -112641.28202340708 1.3693873590827543 -0.17796600695857173 5.490779936609337e-12 -364933.9371780141 
Anche_10 1.251427887686451 -0.02156607465605497 -0.15300312005788025 0.06239229035490246 -0.22614955803258974 0.0027051585562766346 -0.40518711042399724 
