force_anche distance_pointe_anche y z moyenne_brute moyenne(N) 
offset: 
215.39017914364996  
y_centre:
13.503211499999999
3 3 0.0 0 216.07776116214418 0 
3 3 0.0 0.433 430.2032532731094 0.5949391134005609
3 3 0.0 0.867 646.9817194128243 1.1843091926162321
3 3 0.0 1.3 857.0805993835277 1.7543754765379613
3 3 1.594 0 216.62770470290175 0 
3 3 1.594 0.433 395.0614947965948 0.4860852147231369
3 3 1.594 0.867 597.5334940641503 1.0574629000704479
3 3 1.594 1.3 805.272988067261 1.619778692073035
3 3 3.187 0 216.22089297158718 0 
3 3 3.187 0.433 339.55076754051305 0.338320511255397
3 3 3.187 0.867 505.5916013061926 0.7878987360042655
3 3 3.187 1.3 665.2970976897494 1.2376740499847199
3 3 4.781 0 216.7018646809285 0 
3 3 4.781 0.433 289.2782372508926 0.20393260768548555
3 3 4.781 0.867 409.679555650502 0.5300580121709157
3 3 4.781 1.3 524.6192815942866 0.8543397058531494
3 3 6.375 0 215.35874507888988 0 
3 3 6.375 0.433 252.58430738242822 0.10310798954111482
3 3 6.375 0.867 316.4107181005275 0.2712158392078265
3 3 6.375 1.3 372.41584521012084 0.4258373949591708
3 3 -1.594 0 214.71663563951492 0 
3 3 -1.594 0.433 416.10827967162027 0.5395081881470895
3 3 -1.594 0.867 621.8982512894066 1.115188988384082
3 3 -1.594 1.3 822.9828791161852 1.6633312009457706
3 3 -3.187 0 216.33381145664805 0 
3 3 -3.187 0.433 383.2517471846683 0.46547254478865296
3 3 -3.187 0.867 554.8265022736283 0.9361797458778269
3 3 -3.187 1.3 723.0207220679347 1.3941182599974218
3 3 -4.781 0 216.97195348979113 0 
3 3 -4.781 0.433 340.7116916409805 0.3395417906819079
3 3 -4.781 0.867 458.36176641132806 0.6738699816051246
3 3 -4.781 1.3 579.6432386242265 0.9930265130043786
3 3 -6.375 0 215.12863551744067 0 
3 3 -6.375 0.433 280.6122013000887 0.18337384249810276
3 3 -6.375 0.867 346.2440870387892 0.36297940626916453
3 3 -6.375 1.3 403.73912778099896 0.5226402136127908
