force_anche distance_pointe_anche y z moyenne_brute moyenne(N) 
offset: 
23.16080202642898  
y_centre:
13.651992
3.5 3 0.0 0 26.50410473952445 0 
3.5 3 0.0 0.433 179.4402905362102 0.4345286931675574
3.5 3 0.0 0.867 432.6450392162841 1.1209492159688432
3.5 3 0.0 1.3 691.2002929776911 1.8298336998628715
3.5 3 1.591 0 28.989837336344454 0 
3.5 3 1.591 0.433 185.06607257301542 0.4474060318930228
3.5 3 1.591 0.867 429.34385204626534 1.112976366967913
3.5 3 1.591 1.3 666.4088869899581 1.779993707597799
3.5 3 3.183 0 27.426068910794317 0 
3.5 3 3.183 0.433 159.11496322519608 0.3788265596552331
3.5 3 3.183 0.867 356.82088686788626 0.9278548314973936
3.5 3 3.183 1.3 559.2156743064661 1.4783031565209928
3.5 3 4.774 0 28.427686391796584 0 
3.5 3 4.774 0.433 116.31641590624707 0.25398653441561453
3.5 3 4.774 0.867 258.6101870784638 0.6500255536295914
3.5 3 4.774 1.3 402.33436078981936 1.0469666350958364
3.5 3 6.365 0 30.704367198705953 0 
3.5 3 6.365 0.433 67.74101992858662 0.12021263960565143
3.5 3 6.365 0.867 145.31235694448714 0.345964035942009
3.5 3 6.365 1.3 223.14615314188003 0.5520081936428446
3.5 3 -1.591 0 26.570024719992613 0 
3.5 3 -1.591 0.433 180.1574755088963 0.43187556889617257
3.5 3 -1.591 0.867 408.2818079165017 1.0695038729541657
3.5 3 -1.591 1.3 634.9266029847098 1.6794529316373839
3.5 3 -3.183 0 29.242835779900506 0 
3.5 3 -3.183 0.433 136.4400158696251 0.3247483066493308
3.5 3 -3.183 0.867 325.6077761162139 0.84059904891239
3.5 3 -3.183 1.3 518.5985900448624 1.3555991068852626
3.5 3 -4.774 0 29.642323068941277 0 
3.5 3 -4.774 0.433 95.0550859096042 0.1957795146864317
3.5 3 -4.774 0.867 219.4170964690081 0.5436832792624064
3.5 3 -4.774 1.3 341.72704245124635 0.8780721130261141
3.5 3 -6.365 0 27.729422894985774 0 
3.5 3 -6.365 0.433 56.36310922574533 0.08719092843614293
3.5 3 -6.365 0.867 127.86217841120657 0.2773795101341764
3.5 3 -6.365 1.3 186.45130771813083 0.4498452216993516
