force_anche distance_pointe_anche y z moyenne_brute moyenne(N) 
offset: 
23.92284920804465  
y_centre:
13.659612
2.5 3 0.0 0 25.613269447920118 0 
2.5 3 0.0 0.433 156.5361491744744 0.36588689356593157
2.5 3 0.0 0.867 308.42921231727036 0.7964923318585296
2.5 3 0.0 1.3 464.6925260170292 1.2108926555538424
2.5 3 1.583 0 28.73317667165132 0 
2.5 3 1.583 0.433 151.3718070009462 0.34320562896144097
2.5 3 1.583 0.867 300.48463393047865 0.7643204627175397
2.5 3 1.583 1.3 456.6316721091339 1.189872330969406
2.5 3 3.166 0 26.532486953337134 0 
2.5 3 3.166 0.433 130.00335703604244 0.2910494170943642
2.5 3 3.166 0.867 262.8299813837099 0.657547792635225
2.5 3 3.166 1.3 394.68428601947124 1.0187862440253521
2.5 3 4.75 0 25.699636829737187 0 
2.5 3 4.75 0.433 94.89638966032892 0.1922125364993463
2.5 3 4.75 0.867 192.11584826197074 0.44717525219449594
2.5 3 4.75 1.3 283.7156285287027 0.7125019977815211
2.5 3 6.333 0 29.468062379833295 0 
2.5 3 6.333 0.433 58.2464064455089 0.0878512615881323
2.5 3 6.333 0.867 110.58534501174955 0.23767866389416328
2.5 3 6.333 1.3 165.89281899472047 0.3821745498072198
2.5 3 -1.583 0 28.734397412030305 0 
2.5 3 -1.583 0.433 151.85094759971952 0.34167355497742496
2.5 3 -1.583 0.867 290.1907406842252 0.7341363311259054
2.5 3 -1.583 1.3 438.0214850306704 1.124880893460535
2.5 3 -3.166 0 28.16278572954491 0 
2.5 3 -3.166 0.433 129.8519852290415 0.2806735955390622
2.5 3 -3.166 0.867 248.98312326426046 0.6308683118668397
2.5 3 -3.166 1.3 373.6375011444449 0.9599231024525485
2.5 3 -4.75 0 24.459669789727407 0 
2.5 3 -4.75 0.433 100.7223731192968 0.209909296520326
2.5 3 -4.75 0.867 189.82848597674487 0.44837463281749756
2.5 3 -4.75 1.3 277.38700521866554 0.6891646113334077
2.5 3 -6.333 0 26.733298745689165 0 
2.5 3 -6.333 0.433 66.46412549211098 0.11812888422552198
2.5 3 -6.333 0.867 115.1582384716329 0.24844866391264236
2.5 3 -6.333 1.3 160.48341319009984 0.37787396170255416
