force_anche distance_pointe_anche y z moyenne_brute moyenne(N) 
offset: 
28.826258125553146  
y_centre:
13.665898499999999
2.5 3 0.0 0 26.155583361308576 0 
2.5 3 0.0 0.433 142.34443189794635 0.3053889220849493
2.5 3 0.0 0.867 312.0319223609116 0.7636533914721629
2.5 3 0.0 1.3 488.75362407300105 1.2664271789931507
2.5 3 1.579 0 27.86980803857536 0 
2.5 3 1.579 0.433 132.20099490340922 0.29324098196869625
2.5 3 1.579 0.867 295.2488784447768 0.7406596477868206
2.5 3 1.579 1.3 477.8612628559224 1.2287696595729436
2.5 3 3.158 0 22.980132450331038 0 
2.5 3 3.158 0.433 113.43089083529148 0.2364203249540202
2.5 3 3.158 0.867 252.80953398236088 0.616142208768139
2.5 3 3.158 1.3 395.49150059511146 1.011531001970204
2.5 3 4.737 0 27.24967192602307 0 
2.5 3 4.737 0.433 85.1506088442641 0.15248726467080434
2.5 3 4.737 0.867 182.44331186864818 0.4209051105994103
2.5 3 4.737 1.3 284.9284340952789 0.6987284926354974
2.5 3 6.316 0 26.707663197729403 0 
2.5 3 6.316 0.433 54.697714163639986 0.07269476277429518
2.5 3 6.316 0.867 112.71217993713186 0.2261590509863086
2.5 3 6.316 1.3 168.7411114841153 0.38912741992159694
2.5 3 -1.579 0 30.705893124179802 0 
2.5 3 -1.579 0.433 135.02365184484407 0.2833359846888559
2.5 3 -1.579 0.867 290.43214209418016 0.7176827493349466
2.5 3 -1.579 1.3 451.58421582689846 1.1774060159405864
2.5 3 -3.158 0 28.84762108218627 0 
2.5 3 -3.158 0.433 112.39326151310756 0.22881133299602055
2.5 3 -3.158 0.867 237.22800378429537 0.5770823236616247
2.5 3 -3.158 1.3 367.03176976836534 0.9338466810423576
2.5 3 -4.737 0 29.34629352702411 0 
2.5 3 -4.737 0.433 80.40498062074664 0.1464297187153103
2.5 3 -4.737 0.867 164.64247566148873 0.37411579011559415
2.5 3 -4.737 1.3 250.46266060365667 0.6165397562780093
2.5 3 -6.316 0 28.784142582476196 0 
2.5 3 -6.316 0.433 51.79509872737792 0.05962959969564899
2.5 3 -6.316 0.867 97.79564806054867 0.1921838996024487
2.5 3 -6.316 1.3 142.3187963499866 0.29438224653622885
