init init 47.170628986480054
0 0 49.10550248725826
0 1 48.01080355235423
0 2 48.03491317484022
0 3 89.50407422101509
1 0 47.11844233527613
1 1 46.375316629535575
1 2 65.49913022247993
1 3 137.1629993591116
2 0 47.01132236701537
2 1 47.32322153386002
2 2 94.92965483565773
2 3 174.08978545487838
3 0 46.53767509994791
3 1 46.138492996001865
3 2 106.06891079439664
3 3 192.5739310892056
4 0 46.547746208075
4 1 44.03637806329516
4 2 96.80776390881063
4 3 180.36072878200616
5 0 46.24011963255694
5 1 45.24307992797611
5 2 70.60884426404614
5 3 144.67574083681768
6 0 44.66566972869028
6 1 46.967375713369904
6 2 44.583269753105036
6 3 102.02581865901648
7 0 46.044495986815775
7 1 47.18283639027047
7 2 45.540940580461815
7 3 63.309732352671766
