Num_Anche force_constructeur K0 K1 x0 Delta_K K00 K01 x00 
1 3.0 1.2271433002797973 -0.021285853476524248 -0.17566896101706655 0.04117286338427689 -0.18578081419886325 0.003815267842512246 -2.3147658362853787 
2 3.0 1.238206116948444 -0.022093429053501458 -0.1423511322588774 0.04827753758978909 -0.21082628187860522 0.003962947919165209 -0.90940163600231 
3 3.0 1.2287395319043042 -0.021615358912280253 -0.1449928928192632 0.03851190769746221 -0.18077676155390923 0.0021588559410088306 -0.7938585254583523 
4 3.0 1.327924453222267 -0.02384808004449963 0.031391717997546996 -0.019076633715458646 -0.03868574909835541 0.00012692058803590237 -40.86592571413017 
5 3.0 1.2361602975149408 -0.022565640694435327 -0.06339000698876911 0.016472174715124466 -0.20689429175847837 0.00378828647062104 -1.012847600297078 
6 3.0 1.2383721301429462 -0.021843167980644083 -0.13439162621404116 0.04195735325168237 -0.22394099971948903 0.004090191235254583 -0.4359018786920083 
7 3.0 1.2547159416386369 -0.02222320903311158 -0.20972914649390034 0.07227875556822516 -0.2274841695638571 0.0029744494161103373 -0.47795880582198597 
8 3.0 1.186380204099107 -0.022280550707282253 0.16500946578739273 0.042985370789351496 -0.11347307803881507 0.0026347632336515053 1.5298437356794383 
9 3.0 1.3038596467132177 -0.02287042235460696 -0.1250846952878175 0.05589077289470218 -0.3144236188077696 0.005135292426773379 -0.6264305054020339 
10 3.0 1.251427887686451 -0.02156607465605497 -0.15300312005788025 0.06239229035490246 -0.22614955803258974 0.0027051585562766346 -0.40518711042399724 
11 3.0 1.2951758830598334 -0.022187430526202923 -0.2093092003993756 0.10606341253436347 -0.09928275791448077 0.0013151442879211763 -2.9736123327267325 
12 3.0 1.2117453826610498 -0.02264818167584555 -0.10233875584354646 0.02471255766443714 -0.12556384931425987 0.0021455088522626562 -1.3428765144406924 
13 3.0 1.1477072400681572 -0.02074396004407578 0.0789570554812135 -0.041718549574503994 -0.12374458029397746 0.002608577659154296 -0.9638428183662324 
14 3.0 1.3227344628791171 -0.023602227223560344 -0.1357905430785132 0.047423354631433046 -0.11233784557165137 0.0017976978058974317 -1.1577799169628964 
15 3.0 1.1204617795578744 -0.020500597856847186 -0.23193144684329928 0.07442867141575338 -0.21408962651663088 0.0036878321898327834 -0.20785255976811726 
16 3.0 1.1837977307894734 -0.020099811451225025 -0.3442740363752109 0.12992793127003738 -0.18468519361526872 0.003909227407600467 -0.37804113786472854 
