Num_Anche force_constructeur K0 K1 x0 Delta_K K00 K01 x00 
60 3.5 1.3098289577625088 -0.023072325223951733 -0.02257433899751104 0.008833930569836446 -0.058275863234524265 -0.00038353607611659184 -0.3566893048016996 
61 2.5 1.1337371080352383 -0.020425941059630272 -0.3305530345205218 0.11329482854621914 -0.12585523678085614 0.0016544211081184008 -0.7547176382524726 
62 2.5 1.0778678731649594 -0.01983444726242974 -0.22608001660976332 0.09419221361576996 -0.1751930031521991 0.002776097650018335 -0.5728086233622842 
63 2.5 1.2244732181742426 -0.021564476570089173 -0.12845126818509953 0.06439201101042002 -0.07280984731244607 0.0009569680739886409 0.4646981683359418 
64 2.5 0.9741248641213248 -0.01660847004738618 -0.1541877465536593 0.0398845459092948 -0.0651456323524613 0.0007099703584594484 -2.7433803378077295 
65 2.5 1.0168726871246627 -0.017559710048400293 -0.34013657585977364 0.09399754760140455 -0.14991989260028235 0.002030865782114279 0.2946655405848944 
66 2.5 1.1443216651474872 -0.019433274549799998 -0.19886127524763483 0.068245237863019 -0.17155266223308893 0.0019100361452368054 -0.32599554505192907 
67 2.5 1.152854604460952 -0.02075915138342587 0.00398498279209321 -0.02625217827521964 -0.14693124398189952 0.002035259556960528 0.12263938334320111 
68 2.5 1.1148739552632272 -0.01957593945807716 -0.06026775129921792 0.020610874471999052 -0.05648632176757773 0.00040089067129988964 -1.8828163860159994 
69 2.5 1.0172025119865136 -0.017375851448805126 0.02631317640316845 0.00341313804297555 -0.1310978536469121 0.0015271844215279313 0.39325073842545166 
70 2.5 1.0545051395496359 -0.020179643404370923 -0.11234874007227683 0.06954209049692572 -0.20549655881407194 0.003634535746235132 -0.12205407471214087 
71 2.5 0.9896649921319625 -0.018072155124185953 0.12080404718095784 -0.036073334508188226 -0.22948321382192285 0.0033296344074976217 0.6402331439117366 
72 2.5 1.0581967174042952 -0.018314241416435433 -0.16750719721333343 0.05230470509491869 -0.1769095388041019 0.002674112363478551 -0.49163869918530134 
73 2.5 1.1104490805880223 -0.01926534088043508 -0.06142005008110602 0.031079074335137957 -0.08873294101433347 0.0009275192500660049 -0.004660015315750109 
74 2.5 1.1210842922398934 -0.019733555696002655 -0.05623150290953026 0.02380044453720287 -0.10324900094064668 0.0008671837885989476 -2.358532491864716 
75 2.5 1.0626218533976417 -0.0185684870828719 -0.19146172293895386 0.05834689319649533 -0.09036664572075252 0.0008231914192623934 -0.6008890907771631 
76 2.5 1.1321636444302496 -0.019580623768664457 -0.2967220458011897 0.08555069164298057 -0.12781726012367634 0.0014888885646764452 -0.11359486579265543 
77 2.5 1.010843378026645 -0.01839367467666073 -0.022802037898574563 0.026262599595203717 -0.21866688302025736 0.0033019892260429014 0.047174118461917956 
78 2.5 1.11409985763513 -0.01976098206259362 -0.11770729562181612 0.04524499921007691 -0.12675411345319712 0.001660970932743059 0.3834747604953172 
79 2.5 1.0675554107940493 -0.018236728911216207 -0.23397266647704565 0.08296665024275529 -0.13040698326413408 0.001835615798619248 0.4609038089414673 
80 2.5 1.0653766174630088 -0.01829488523279049 0.09514427813970489 -0.05224259325094288 -0.14558293844503234 0.0017670503557646391 0.8088084574475551 
81 2.5 1.1403339971264286 -0.020764315894059943 -0.1643121002903602 0.035629922320125074 -0.1400273792993154 0.0025953727276470965 -0.11768537481894768 
82 2.5 1.0975749787656162 -0.019653124836046074 -0.13890942580397356 0.05527775208728741 -0.12230881170732395 0.0021121952112886752 -0.048094244639943946 
83 2.5 1.104960504706864 -0.01963274972164107 -0.26327551131521215 0.09481049347651349 -0.15768644163684523 0.0023270389972257673 -0.1280738290843439 
84 2.5 1.0955538754200183 -0.019085995019320318 -0.10842166440170979 0.03604040848552015 -0.10458973884104651 0.0013501505451179992 -0.47114595501703976 
85 2.5 1.054894472620447 -0.018641905232931584 -0.12279308836723962 0.02480882508399529 -0.07631905953199908 0.0009213015986029351 -2.6205254639429936 
86 2.5 1.060155323681531 -0.019800510746751838 -0.07217726198515197 0.036588671806705775 -0.08258148075996007 0.0008703716666127808 -0.2646753951703762 
87 2.5 1.077843937123749 -0.019090875866806044 -0.0033341635438142734 -0.0022000600929547587 -0.06798807104758477 -3.584118355963228e-05 -11.60788883111246 
88 2.5 1.1141669195576585 -0.01726777923710547 -0.2141861222006163 0.049581955036786085 -0.10996542217152014 0.0008237632282044494 -0.5185291410251475 
89 2.5 1.127499906960318 -0.01950118716328993 -0.31081642073145854 0.08582908826855407 -0.145068628710302 0.0018591214518223454 -0.803515327583964 
90 2.5 1.2029664855141127 -0.020564569510910242 -0.0699020695440446 0.056152561057212114 -0.08896037696912101 -8.222105385514503e-05 -9.40956084981253 
