init init 47.834101382488264
0 0 49.480880153813
0 1 59.612109744559824
0 2 68.13592944120617
0 3 77.28293710135212
1 0 53.50383007293893
1 1 68.04773094882056
1 2 85.06210516678371
1 3 98.27753532517457
2 0 57.238685262611575
2 1 76.64296395764052
2 2 98.03521835993524
2 3 116.59810174871043
3 0 58.49360637226459
3 1 82.50312814722147
3 2 104.81856746116506
3 3 126.79372539445178
4 0 57.161473433637305
4 1 80.57588427381228
4 2 104.77492599261431
4 3 125.59465315713993
5 0 53.47514267403151
5 1 76.42567217017144
5 2 95.96667378765213
5 3 114.64644306772051
6 0 51.65440839869355
6 1 67.68700216681424
6 2 82.75856807153555
6 3 98.36146122623359
7 0 49.49522385326678
7 1 59.173863948484524
7 2 70.14343699453737
7 3 78.92513809625551
