init init 44.25946836756477
0 0 43.86059144871345
0 1 69.53367717520688
0 2 104.01226844080918
0 3 135.45182653279238
1 0 53.55784783471149
1 1 98.02056947538671
1 2 140.78981902523907
1 3 180.1940977202673
2 0 65.4097109897153
2 1 116.84347056489746
2 2 166.05548265022736
2 3 211.02664265877186
3 0 68.81038850062575
3 1 121.59550767540509
3 2 173.61095004120008
3 3 223.42967009491235
4 0 64.06628620258175
4 1 115.64378795739609
4 2 167.29483932004763
4 3 214.86190374462026
5 0 52.516556291390465
5 1 100.2621539963986
5 2 145.89373455000498
5 3 190.90273751029991
6 0 44.825586718344454
6 1 71.93334757530454
6 2 111.10080263679905
6 3 149.07620471816182
7 0 43.423261207922444
7 1 45.37919248023905
7 2 71.94586016418972
7 3 98.23114719077114
