init init 42.302316354869035
0 0 70.52247688222928
0 1 96.98538163396091
0 2 120.00305185094764
0 3 143.58897671437757
1 0 100.89266640217272
1 1 135.20706808679498
1 2 169.32859279152802
1 3 202.09540086062145
2 0 131.8802453688166
2 1 177.07144383068328
2 2 222.7466658528393
2 3 265.60136722922505
3 0 150.44709616382346
3 1 201.04129154332043
3 2 246.67409283730657
3 3 288.5125278481399
4 0 145.64134647663823
4 1 196.38477736747328
4 2 238.73592333750472
4 3 281.0281685842466
5 0 125.19638660847816
5 1 167.95678579058207
5 2 213.26120792260437
5 3 245.77990050965965
6 0 98.34345530564275
6 1 132.95113986632924
6 2 166.02313303018292
6 3 194.29120761741993
7 0 65.2113406781211
7 1 87.04611346781836
7 2 109.80651264992203
7 3 131.72673726615224
