#anche n3  mm 
#position repetition offset(mV) moyenne(mV) moyenne(N) 
0 0 43.7828 51.3129 0.2553
0 1 43.0314 51.9724 0.3031
0 2 41.9382 49.8523 0.2683
0 3 43.2752 50.6272 0.2492
0 4 42.1833 50.3238 0.2759
0 5 43.1462 50.7013 0.2561
0 6 41.2592 51.3489 0.342
0 7 41.6874 49.2828 0.2575
0 8 42.2718 49.9384 0.2599
0 9 42.3414 50.8509 0.2885
1 0 43.0534 69.9493 0.9117
1 1 42.0096 70.7062 0.9728
1 2 43.0329 69.2972 0.8903
1 3 43.809 69.1028 0.8574
1 4 43.3995 68.6853 0.8571
1 5 43.256 68.5092 0.856
1 6 41.6758 67.4535 0.8738
1 7 43.122 69.8675 0.9066
1 8 40.5844 69.2813 0.9728
1 9 41.6083 68.2165 0.902
2 0 42.5843 83.6506 1.3921
2 1 42.1668 82.1506 1.3554
2 2 40.9955 82.9994 1.4239
2 3 41.8964 82.9542 1.3918
2 4 42.1781 82.9231 1.3812
2 5 43.0671 83.5139 1.3711
2 6 42.0014 82.8092 1.3833
2 7 41.6538 81.8772 1.3635
2 8 41.7566 81.1026 1.3338
2 9 41.7747 80.9851 1.3292
