init init 46.33716849269055
0 0 47.21945860164166
0 1 67.13522751548824
0 2 107.91497543259972
0 3 148.62636188848555
1 0 61.41178624835945
1 1 117.25882747886583
1 2 169.25412762840674
1 3 217.45750297555406
2 0 91.45451216162603
2 1 157.57255775627934
2 2 220.49531540879505
2 3 283.09244056520276
3 0 109.7705008087403
3 1 183.15591906491264
3 2 252.9163487655268
3 3 314.64125492110935
4 0 109.7946104312264
4 1 182.9529709768975
4 2 250.94058046205078
4 3 308.50276192510694
5 0 87.1721549119542
5 1 159.14822840052503
5 2 222.40089114047626
5 3 278.6220892971588
6 0 53.80901516769885
6 1 112.23364970854813
6 2 167.77459028901026
6 3 218.67122409741458
7 0 46.14185003204423
7 1 66.41438032166506
7 2 102.64564958647412
7 3 137.5121311075169
