numero_anche force_anche S00(mm**2) F_max(N) Raideur(N/mm**2) Coude Fuite 
Anche_1 3 16.181190498638234 5.38961366247319 0.33307893278475187 2.526730440466952 1.468595163619707 
Anche_2 3 14.695870806791142 5.362926051945802 0.3649274086886725 2.390265826328215 1.6906611435947592 
Anche_3 3 13.760049904227582 5.408568553650023 0.393063149573921 2.511738700396479 1.490261845558915 
Anche_4 3 15.468736801187553 5.790749010372469 0.3743517705936988 2.554343461932356 1.6051671377024075 
Anche_5 3 14.114980041835238 5.419124762901285 0.3839271998146366 2.243772454023929 1.4486108313991926 
Anche_6 3 13.61259423765712 5.236080792997297 0.38464973697023125 2.1867264427326405 1.218533364196504 
Anche_7 3 14.287707440187312 5.75466289429384 0.402770207773683 2.65570481570032 1.7110496510689681 
Anche_8 3 14.288291578637025 5.562891778534023 0.3893321848814533 2.1813237786494475 2.0769817918267015 
Anche_9 3 13.432870130961515 5.465364080195501 0.40686495342483403 2.4683479672060655 1.0387414157001433 
Anche_10 3 13.171700077490152 5.514704349285283 0.41867825085917854 2.145542053851952 1.3023130701690853 
Anche_11 3 14.989124200199456 5.640539824347931 0.37630883225804973 2.3977328492898873 1.123627534607218 
Anche_12 3 14.660906293729706 5.6415408901602735 0.3848016471241681 2.510495507631023 1.43275752623022 
Anche_13 3 14.39491471299092 5.298878028905175 0.36810763624206255 2.1742555038952274 1.1502180874903543 
Anche_14 3 13.516726471468301 5.726196361631472 0.4236378071065194 2.314468609685181 1.1380758913790918 
Anche_15 3 14.693792419145103 5.188825131774785 0.35313042295425834 2.5362291093756433 1.5491562939215775 
Anche_16 3 14.592829248992105 5.193642407466806 0.3559037331863195 2.0245882726528475 1.4785586879687573 
Anche_17 3 14.778189721695142 5.501150499182838 0.3722479277084166 2.2433524383711787 1.4780102712784504 
Anche_18 3 15.209379001613092 5.294994049486471 0.3481400554831916 2.5618834932078194 1.619473779762689 
Anche_19 3 15.31835310701499 5.297030007822531 0.34579631183699333 2.2894316722575137 1.4625111539072315 
Anche_20 3 14.85956241441932 5.334842625593986 0.3590174782278378 2.3220501461687624 1.536632431619554 
Anche_21 3 13.14023089842504 5.876604426120592 0.4472223107453119 2.2001188676135834 1.1256210711496604 
Anche_22 3 13.919269032224758 5.220746034437674 0.37507329029642494 2.5675568385062526 1.122886846786812 
Anche_23 3 13.865146125929396 6.238786849671663 0.44996185348558454 2.308783790940262 1.1676750408344232 
Anche_24 3 14.176785841156846 5.464473559546936 0.385452218914314 2.2610788804876925 1.2113092097198341 
Anche_25 3 12.587942526987796 5.8404840621630205 0.4639744779292861 2.2574163587943166 1.1710926939041375 
Anche_26 3 13.992465750048952 5.637643925286057 0.4029056798131762 2.2714455204264254 1.474407892622027 
Anche_27 3 14.072337951016126 5.8965491305126125 0.41901702126808565 2.6603727240383774 1.6297030827963084 
Anche_28 3 14.525885723070328 5.465373485442757 0.3762506183538627 2.346765512155765 1.511396404876627 
Anche_29 3 15.700284882066114 5.909406488552186 0.3763884880396211 2.4439986971519434 1.6460345374323022 
Anche_30 3 14.85652906308406 5.432548513191714 0.3656674106127972 2.5811310749754837 1.36876735948754 
Anche_31 3.5 15.551675278504883 6.6461625454017685 0.42735990987337036 2.9023805670444016 2.0697903090164567 
Anche_32 3.5 15.076540955871767 5.552666244234485 0.3682984220642417 2.720538354702203 1.6752350948330479 
Anche_33 3.5 13.606382114414085 5.770136862869265 0.4240757619732435 2.556830900241861 1.3782470346637683 
Anche_34 3.5 14.571455788294575 5.860205677357726 0.4021702266746264 2.9166532529456592 1.3186203001165353 
Anche_35 3.5 15.081628838664379 6.267936725604615 0.4156007810996959 2.7921753971288132 1.4411204440478984 
Anche_36 3.5 15.901630545540419 5.963556411867508 0.37502798186566944 2.6246238603918393 1.7245899720028197 
Anche_37 3.5 15.483836141977124 5.921390960095219 0.3824240263071603 2.575014669448484 1.4268160174786184 
Anche_38 3.5 15.403494214610195 6.008569274185064 0.39007832836305045 2.7299920739879155 1.471542232117077 
Anche_39 3.5 15.742822356249919 6.024733164909634 0.38269714467798766 2.9061516888558288 1.9266421106651104 
Anche_40 3.5 14.891303037171964 5.80644117030597 0.389921631156912 2.797927608975039 1.5873400767142825 
Anche_41 3.5 15.241109141358299 5.981672356650753 0.3924696228582785 2.7187112487867844 1.602778448595445 
Anche_42 3.5 14.710060932993523 6.483999409643269 0.440786713201178 2.923469103207955 2.0297656618460573 
Anche_43 3.5 14.683417715628114 6.334112408622035 0.43137861574832137 2.643034747021892 1.84810853528496 
Anche_44 3.5 16.185242235664685 6.4188143251995475 0.39658438420251074 2.7328263359204286 1.9534274088923655 
Anche_45 3.5 15.271603609751196 6.184573607930974 0.4049721146495717 2.8416907278535155 1.7215758983338327 
Anche_46 3.5 15.710885214148332 6.8131019589311395 0.4336548746976807 2.737854520994457 2.243300970087819 
Anche_47 3.5 16.298373379297768 6.327984712098978 0.388258666360951 2.662885364441298 2.2048602005167606 
Anche_48 3.5 14.653212874430567 5.93939708152991 0.4053307034045746 3.1193661886150603 1.5465940980450095 
Anche_49 3.5 15.350892367885718 5.922362839414597 0.38579925501948426 2.824426570586394 1.5149037522874083 
Anche_50 3.5 15.650886422269643 6.146354410590633 0.392716057401387 2.713891733254995 1.6258704211133965 
Anche_51 3.5 15.893856246418022 6.525827905485101 0.4105880790859561 3.0350209452837755 2.2717841070215776 
Anche_52 3.5 15.751971639301651 5.931193130920597 0.376536554707989 2.797458474760495 1.7308845245379183 
Anche_53 3.5 15.317939283976154 6.701096074352867 0.4374672043100976 2.8705153149980633 1.9060674593054676 
Anche_54 3.5 15.76750515225023 5.957567612884316 0.37783831718197297 2.860831979772113 1.7726737323692625 
Anche_55 3.5 16.08952786721195 6.601426240113793 0.4102933469891626 2.9145505043981172 2.56131250124391 
Anche_56 3.5 14.786891765442553 6.042169488120681 0.4086166034055533 2.551589010530372 1.608608270780714 
Anche_57 3.5 16.092882983823397 6.571081258389351 0.4083221921761699 2.8943977515704074 1.866758130796809 
Anche_58 3.5 15.148479064020824 6.766465524500367 0.4466762303927534 2.7821468303626062 2.0669284075299523 
Anche_59 3.5 14.469999305209862 6.048953175340908 0.4180341026805031 2.908202289317125 1.297185458284713 
Anche_60 3.5 15.06146335239323 5.762681830808947 0.3826110183306505 2.793747921656021 1.559637805596466 
Anche_61 2.5 15.052659309530139 5.215088712581277 0.3464563041880248 2.4805785131712508 1.3384677558446045 
Anche_62 2.5 14.348010875445308 5.185431817290616 0.36140422963888225 2.2501288617954818 1.3199330768081552 
Anche_63 2.5 16.132938625051676 5.733906047263286 0.3554160950169064 2.5043410573838893 1.3646525893976293 
Anche_64 2.5 15.964027131829214 5.0193489914277345 0.314416215280674 2.1329771798165664 1.413618332451588 
Anche_65 2.5 14.61822061831982 5.0743671239292265 0.3471261828932817 2.021000217481735 1.376612110965416 
Anche_66 2.5 14.594984624092955 5.468592921371498 0.3746898720498898 2.252844124790978 1.4621499457975402 
Anche_67 2.5 15.13123770113957 5.348157773323576 0.3534514412473207 2.5136644662691796 1.0696325502775652 
Anche_68 2.5 16.010838454307304 5.3340734848894655 0.33315391321398724 2.3372890862068347 1.4702243244995397 
Anche_69 2.5 14.329149154366428 4.934720977619319 0.3443833911182084 1.8240076576993314 1.436636882452505 
Anche_70 2.5 14.89616034265167 4.925253669645812 0.3306391416547458 2.3681587612695734 1.3215780893478202 
Anche_71 2.5 14.205677200908589 5.08865592193602 0.35821283631663486 2.422144013045313 1.2627785210836584 
Anche_72 2.5 14.03747803204854 5.671665468183188 0.40403735309393757 2.1558544244673663 1.037794145369068 
Anche_73 2.5 15.316057969145248 5.457049857183222 0.35629597825867765 2.148100492117156 1.2556773316518874 
Anche_74 2.5 15.997479256307125 4.905596418638817 0.30664808749195593 2.4185934546127816 1.3723329468561312 
Anche_75 2.5 15.066822336767785 5.423094943654432 0.3599362109965533 2.266761271077022 1.366539252522798 
Anche_76 2.5 14.832512910922036 5.69068241924476 0.3836627315560522 2.5728795409294403 1.0464551040440964 
Anche_77 2.5 13.414754705921084 5.234165332344179 0.3901797272546394 2.223731260417692 0.8941604013026475 
Anche_78 2.5 14.367468319157473 5.223277346254085 0.3635489029956243 2.4744087377917823 0.7351502639720792 
Anche_79 2.5 14.199004896198499 5.492773521707967 0.38684214576040804 2.0284039344812745 1.1698929733100236 
Anche_80 2.5 15.893426538170324 5.280255454111674 0.33222888981368426 2.4667432435918535 1.4731106509179024 
Anche_81 2.5 14.801098918506625 5.593703639906655 0.3779248872468882 2.263884690571305 1.4791203765440828 
Anche_82 2.5 14.37067689412505 5.890823647704333 0.40991970601695116 2.3262039054629993 1.2627094931836285 
Anche_83 2.5 13.964908185967374 5.598542651917079 0.40090078483600555 2.3497406590397047 1.3563872898313516 
Anche_84 2.5 14.043150560637478 5.553580650002133 0.39546543533960604 2.0477292138708885 1.3809861813015631 
Anche_85 2.5 15.568975771125778 5.225048506446805 0.33560643829487996 2.204038564114537 1.4934144850953064 
Anche_86 2.5 15.238437987623714 5.006115799196742 0.32851895996575153 2.5628913178439463 1.6974535351951954 
Anche_87 2.5 14.727312199861776 5.223871281671972 0.3547063585520378 2.5833576519868022 1.4590264211231376 
Anche_88 2.5 14.813950647649106 5.707674087317064 0.38529047538192257 2.1252990039338435 1.175795005910886 
Anche_89 2.5 14.642837694996713 5.568544012381051 0.38029131568423774 2.3796086095401896 1.0636223485397716 
Anche_90 2.5 14.583108304975418 6.002026589996875 0.411573888397244 2.5414138165724247 1.3259615553930104 
