#anche n0  mm 
#pos_y pos_z rep offset(mV) moyenne(mV) moyenne(N) 
1 3 12 33.9857 786.3976 2.64
1 3 13 31.265 778.4548 2.6217
1 3 14 29.1171 778.2055 2.6284
1 3 15 31.727 773.4672 2.6026
1 3 16 32.4284 776.7504 2.6117
1 3 17 33.4846 779.2395 2.6167
1 3 18 33.0055 775.3966 2.6049
1 3 19 30.2634 778.7249 2.6262
2 0 0 30.1791 78.0703 0.168
2 0 1 35.8507 77.8903 0.1475
2 0 2 36.1394 80.9052 0.1571
2 0 3 26.7797 82.3569 0.195
2 0 4 28.3566 80.5771 0.1832
2 0 5 34.4264 82.562 0.1689
2 0 6 32.6417 81.1982 0.1704
2 0 7 30.7465 82.2123 0.1806
2 0 8 33.1269 82.5159 0.1733
2 0 9 23.7532 83.2441 0.2087
2 0 10 28.8241 82.3338 0.1878
2 0 11 27.3019 81.1496 0.1889
2 0 12 30.9803 81.9718 0.1789
2 0 13 26.3515 81.7383 0.1943
2 0 14 26.7913 78.7442 0.1823
2 0 15 27.4682 81.9095 0.191
2 0 16 32.4628 82.5016 0.1756
2 0 17 25.9444 79.8013 0.189
2 0 18 26.2099 79.8157 0.1881
2 0 19 31.4368 80.0229 0.1705
2 1 0 24.4374 207.4984 0.6423
2 1 1 29.1485 210.8203 0.6374
2 1 2 27.0324 208.6377 0.6372
2 1 3 23.6216 209.0179 0.6505
2 1 4 27.5604 209.3768 0.638
2 1 5 26.8459 207.7309 0.6347
2 1 6 28.9383 209.3561 0.633
2 1 7 33.3018 208.3288 0.6141
2 1 8 28.7481 211.9572 0.6428
2 1 9 26.422 204.4523 0.6247
2 1 10 30.3333 210.7938 0.6332
2 1 11 29.1321 210.8502 0.6376
2 1 12 26.4998 206.3051 0.6309
2 1 13 28.28 210.4346 0.6391
2 1 14 32.2669 208.0175 0.6167
2 1 15 28.3056 206.4101 0.6249
2 1 16 33.4993 212.5205 0.6281
2 1 17 31.1646 206.0567 0.6137
2 1 18 29.4461 210.983 0.637
2 1 19 29.7604 203.8963 0.611
2 2 0 29.541 341.6749 1.0952
2 2 1 33.9143 340.4199 1.0755
2 2 2 28.5031 340.0284 1.0931
2 2 3 24.8793 336.4458 1.0932
2 2 4 29.6741 337.04 1.0785
2 2 5 22.7952 334.6837 1.0943
2 2 6 28.5464 336.6817 1.0812
2 2 7 23.9421 338.8873 1.1051
2 2 8 23.6522 337.4496 1.101
2 2 9 24.2906 333.0808 1.0835
2 2 10 28.7509 334.6388 1.0733
2 2 11 27.6485 338.0731 1.0892
2 2 12 26.9735 337.6504 1.0901
2 2 13 31.9004 346.8142 1.105
2 2 14 29.5181 339.8801 1.089
2 2 15 27.3476 338.0435 1.0902
2 2 16 31.6904 336.5538 1.0697
2 2 17 28.7399 334.9196 1.0743
2 2 18 25.1088 332.9054 1.08
2 2 19 23.0357 334.5073 1.0929
2 3 0 27.9534 473.2762 1.5625
2 3 1 29.3204 473.7721 1.5595
2 3 2 30.1157 474.6724 1.5598
2 3 3 27.4722 470.6839 1.5551
2 3 4 30.9442 469.2166 1.5378
2 3 5 29.4443 469.9628 1.5457
2 3 6 31.4164 471.3828 1.5437
2 3 7 32.1934 471.301 1.5407
2 3 8 30.0009 469.9057 1.5435
2 3 9 30.4923 476.4324 1.5647
2 3 10 28.8311 472.848 1.558
2 3 11 29.8407 468.4909 1.5391
2 3 12 27.3666 465.0127 1.5356
2 3 13 30.5982 468.7085 1.5372
2 3 14 30.517 467.1685 1.5321
2 3 15 29.7513 470.4877 1.5464
2 3 16 28.7722 473.8383 1.5616
2 3 17 29.9149 469.3731 1.542
2 3 18 32.1647 473.1214 1.5472
2 3 19 29.3728 468.9666 1.5424
