force_anche distance_pointe_anche y z moyenne_brute moyenne(N) 
force:3 offsete:218.20581682790558 y0:13.539978
3 3 0.0 0 216.23218482009304 0 
3 3 0.0 0.433 426.71559801019293 0.7267517222879883
3 3 0.0 0.867 661.5451521347686 1.542349786022419
3 3 0.0 1.3 912.0355845820476 2.4306225936556793
3 3 1.587 0 219.25107577745882 0 
3 3 1.587 0.433 406.3582262642289 0.6522854883416626
3 3 1.587 0.867 635.2473525193031 1.444781575815207
3 3 1.587 1.3 873.3472701193263 2.2981369253083606
3 3 3.173 0 219.0340891750843 0 
3 3 3.173 0.433 362.83913693655256 0.4955970357425331
3 3 3.173 0.867 547.4507889034695 1.1635347715582487
3 3 3.173 1.3 753.6365855891581 1.8676845928108066
3 3 4.76 0 218.52168340098248 0 
3 3 4.76 0.433 305.83330790124165 0.2973230983889993
3 3 4.76 0.867 442.0813623462616 0.7932852854203432
3 3 4.76 1.3 584.2280343028063 1.276983314941916
3 3 6.347 0 218.76552629169538 0 
3 3 6.347 0.433 246.2175359355456 0.10012426922893931
3 3 6.347 0.867 315.59190649128607 0.3443804983511963
3 3 6.347 1.3 387.9631946775723 0.5775686813701651
3 3 -1.587 0 218.50795007171826 0 
3 3 -1.587 0.433 427.2078615680407 0.7132432662515082
3 3 -1.587 0.867 638.8048951689203 1.4656894318684959
3 3 -1.587 1.3 872.958464308604 2.288318531856239
3 3 -3.173 0 218.86898403881884 0 
3 3 -3.173 0.433 392.9523606067082 0.665093624897537
3 3 -3.173 0.867 573.6420789208654 1.2330794942922367
3 3 -3.173 1.3 766.2578203680541 1.9086275826288697
3 3 -4.76 0 221.42857142857085 0 
3 3 -4.76 0.433 346.9304483169046 0.4508933088971117
3 3 -4.76 0.867 480.70162053285395 0.9080712890964913
3 3 -4.76 1.3 609.1830195013283 1.3644054592794825
3 3 -6.347 0 217.07296975615637 0 
3 3 -6.347 0.433 286.43208105716127 0.22846263276221127
3 3 -6.347 0.867 347.67082735679224 0.4614934045217754
3 3 -6.347 1.3 408.6162907803585 0.6627752890022554
