force_anche distance_pointe_anche y z moyenne_brute moyenne(N) 
force:3 offsete:218.8888210699784 y0:13.5013065
3 3 0.0 0 220.09094515823784 0 
3 3 0.0 0.433 427.81334879604424 0.7325513099133214
3 3 0.0 0.867 666.7513046662782 1.562931040483073
3 3 0.0 1.3 917.9384746848959 2.456498006391755
3 3 1.571 0 219.14426099429275 0 
3 3 1.571 0.433 410.79775383770254 0.6613446669440123
3 3 1.571 0.867 640.3262428662987 1.4712255965699308
3 3 1.571 1.3 881.7755668813148 2.305849006194192
3 3 3.143 0 217.767876216925 0 
3 3 3.143 0.433 366.07409894100863 0.5116690465749971
3 3 3.143 0.867 562.8507339701528 1.1848377619973867
3 3 3.143 1.3 756.4897610400706 1.8872988923922724
3 3 4.714 0 219.4357127597886 0 
3 3 4.714 0.433 307.5222022156433 0.3051904488844433
3 3 4.714 0.867 450.9695730460525 0.8138290610097153
3 3 4.714 1.3 588.3996093630799 1.2977969384045482
3 3 6.286 0 217.55119479964566 0 
3 3 6.286 0.433 249.38535721915406 0.11618450098757015
3 3 6.286 0.867 325.21652882473126 0.36329983257652587
3 3 6.286 1.3 387.69768364513106 0.5860785268019475
3 3 -1.571 0 219.57426679280942 0 
3 3 -1.571 0.433 430.35035248878415 0.7236709590682546
3 3 -1.571 0.867 648.4279915768917 1.4980850973834903
3 3 -1.571 1.3 876.6087832270273 2.305151899188269
3 3 -3.143 0 218.79604480117172 0 
3 3 -3.143 0.433 398.1740775780512 0.6336402852891697
3 3 -3.143 0.867 585.7673879207753 1.2740192716356147
3 3 -3.143 1.3 770.1632740256963 1.9262212356355608
3 3 -4.714 0 217.55729850154052 0 
3 3 -4.714 0.433 355.8616901150556 0.477107102299653
3 3 -4.714 0.867 489.16104617450577 0.9485420451363452
3 3 -4.714 1.3 619.0691854609825 1.3991719311095552
3 3 -6.286 0 219.57976012451508 0 
3 3 -6.286 0.433 294.2204046754355 0.2615382720848286
3 3 -6.286 0.867 365.5656605731387 0.5130236400657743
3 3 -6.286 1.3 417.16055787835313 0.6972312216131027
