force_anche distance_pointe_anche y z moyenne_brute moyenne(N) 
force:3 offsete:223.70830408642817 y0:13.483209
3 3 0.0 0 218.60042115543044 0 
3 3 0.0 0.433 434.4364757225256 0.7380864037898626
3 3 0.0 0.867 668.4054078798779 1.5453352458265914
3 3 0.0 1.3 923.8770714438323 2.437555114018759
3 3 1.583 0 218.8430433057644 0 
3 3 1.583 0.433 414.6977141636398 0.6601849635839235
3 3 1.583 0.867 641.9000823999762 1.4581508246154822
3 3 1.583 1.3 887.3680837427896 2.3149713634652787
3 3 3.166 0 220.4287850581373 0 
3 3 3.166 0.433 365.37583544419783 0.48885512221057126
3 3 3.166 0.867 555.3477584154778 1.1528779222142085
3 3 3.166 1.3 755.9102145451214 1.8630639833936473
3 3 4.748 0 221.36173589281853 0 
3 3 4.748 0.433 307.75505844294554 0.2839891868102213
3 3 4.748 0.867 446.8541520432132 0.7741260864187789
3 3 4.748 1.3 583.0149235511348 1.2525963488083642
3 3 6.331 0 217.96929837946664 0 
3 3 6.331 0.433 248.2195501571708 0.0800302400950056
3 3 6.331 0.867 318.10144352549736 0.3213513381830974
3 3 6.331 1.3 384.3644520401626 0.5527694476524607
3 3 -1.583 0 221.68034913174807 0 
3 3 -1.583 0.433 431.35807367168104 0.7272946305091931
3 3 -1.583 0.867 648.260444959868 1.4673138732325406
3 3 -1.583 1.3 874.8103274636082 2.289004930613221
3 3 -3.166 0 221.1703848384041 0 
3 3 -3.166 0.433 399.47294534134977 0.605783846499395
3 3 -3.166 0.867 585.2174443800177 1.2500424314364218
3 3 -3.166 1.3 770.6186101870776 1.902236899662103
3 3 -4.748 0 221.96081423383225 0 
3 3 -4.748 0.433 353.14920499282886 0.472326939973307
3 3 -4.748 0.867 487.8127384258559 0.9276588180556115
3 3 -4.748 1.3 619.1399884029663 1.391290659890487
3 3 -6.331 0 220.05340739158248 0 
3 3 -6.331 0.433 289.23703726310004 0.24371010842637578
3 3 -6.331 0.867 357.2591326639614 0.470016099852284
3 3 -6.331 1.3 415.6111331522565 0.6669097439175816
