init init 42.35999633777867
0 0 60.8044679097871
0 1 91.64067506942962
0 2 121.38889736625259
0 3 152.76772362437842
1 0 85.52964873195606
1 1 130.7925656910918
1 2 178.2348094119083
1 3 221.85125278481354
2 0 105.71245460371706
2 1 162.42652668843658
2 2 218.17072054200827
2 3 272.7521591845455
3 0 115.81438642536685
3 1 176.8941312906279
3 2 237.75505844294594
3 3 291.9177831354715
4 0 113.910946989349
4 1 176.0048219244973
4 2 237.48680074465182
4 3 292.1808526871547
5 0 92.82845545823544
5 1 147.80480361339195
5 2 207.71233252967875
5 3 256.40247810296995
6 0 70.95339823603014
6 1 115.87023529770796
6 2 157.21060823389402
6 3 195.99932859279133
7 0 47.64122440259997
7 1 80.83223975341069
7 2 110.7242042298652
7 3 136.18305001983748
