init init 46.30146183660369
0 0 46.134830774864724
0 1 52.1295815912348
0 2 66.85262611774041
0 3 79.9649037141028
1 0 45.10574663533409
1 1 62.20465712454591
1 2 85.77166051210081
1 3 106.43024994659237
2 0 45.39292580950325
2 1 73.28073976866992
2 2 101.07760856959734
2 3 128.9941099276713
3 0 45.803704947050164
3 1 77.00277718436251
3 2 108.3114108706929
3 3 139.59227271340097
4 0 46.135441145054266
4 1 75.58000427259154
4 2 106.51844843897807
4 3 136.57490768150916
5 0 45.30167546617004
5 1 71.89733573412298
5 2 99.0893276772361
5 3 126.06311227759652
6 0 45.75426496169905
6 1 62.14362010559389
6 2 84.48347422711889
6 3 103.12906277657382
7 0 45.24307992797609
7 1 53.402203436383836
7 2 65.38041322061832
7 3 82.00262459181518
