#anche n4  mm 
#position repetition offset(mV) moyenne(mV) moyenne(N) 
0 0 43.8597 53.4605 0.3255
0 1 42.6377 52.7338 0.3422
0 2 42.4439 51.37 0.3026
0 3 41.7399 51.5226 0.3316
0 4 42.2779 53.3509 0.3754
0 5 44.3107 53.6506 0.3166
0 6 41.9541 51.1072 0.3103
0 7 43.6998 53.3784 0.3281
0 8 42.2147 54.2222 0.407
0 9 43.4672 51.9471 0.2875
1 0 43.0049 82.3106 1.3324
1 1 42.4369 79.6088 1.2601
1 2 42.3688 81.2796 1.319
1 3 42.28 81.6507 1.3346
1 4 41.8827 84.2152 1.435
1 5 43.3171 81.0285 1.2784
1 6 43.0479 81.2818 1.2961
1 7 42.3481 80.9561 1.3087
1 8 41.9807 82.0383 1.3579
1 9 41.55 82.3154 1.3819
2 0 43.3705 99.3799 1.8986
2 1 44.38 98.6288 1.8389
2 2 44.0407 96.856 1.7904
2 3 43.5414 98.717 1.8704
2 4 43.4336 98.8977 1.8801
2 5 45.2681 98.6831 1.8107
2 6 43.119 98.244 1.8686
2 7 44.745 97.5597 1.7903
2 8 44.973 97.9159 1.7947
2 9 43.1697 99.4067 1.9063
